
                  X                  f        

                0.                 0.         
               81.9564E-09         0.         
              163.913E-09          0.         
              245.869E-09          0.         
              327.826E-09          0.         
              409.782E-09          0.         
              491.738E-09          0.         
              573.695E-09          0.         
              655.651E-09          0.         
              737.607E-09          0.         
              819.564E-09          0.         
              901.52E-09           0.         
              983.477E-09          0.         
                1.06543E-06        0.         
                1.14739E-06        0.         
                1.22935E-06        0.         
                1.3113E-06         0.         
                1.39326E-06        0.         
                1.47521E-06        0.         
                1.55717E-06        0.         
                1.63913E-06        0.         
                1.72108E-06        0.         
                1.80304E-06        0.         
                1.885E-06          0.         
                1.96695E-06        0.         
                2.04891E-06        0.         
                2.13087E-06        0.         
                2.21282E-06        0.         
                2.29478E-06        0.         
                2.37674E-06        0.         
                2.45869E-06        0.         
                2.54065E-06        0.         
                2.6226E-06         0.         
                2.70456E-06        0.         
                2.78652E-06        0.         
                2.86847E-06        0.         
                2.95043E-06        0.         
                3.03239E-06        0.         
                3.11434E-06        0.         
                3.1963E-06         0.         
                3.27826E-06        0.         
                3.36021E-06        0.         
                3.44217E-06        0.         
                3.52412E-06        0.         
                3.60608E-06        0.         
                3.68804E-06        0.         
                3.76999E-06        0.         
                3.85195E-06        0.         
                3.93391E-06        0.         
                4.01586E-06        0.         
                4.09782E-06        0.         
                4.17978E-06        0.         
                4.26173E-06        0.         
                4.34369E-06        0.         
                4.42564E-06        0.         
                4.5076E-06         0.         
                4.58956E-06        0.         
                4.67151E-06        0.         
                4.75347E-06        0.         
                4.83543E-06        0.         
                4.91738E-06        0.         
                4.99934E-06        0.         
                5.0813E-06         0.         
                5.16325E-06        0.         
                5.24521E-06        0.         
                5.32717E-06        0.         
                5.40912E-06        0.         
                5.49108E-06        0.         
                5.57303E-06        0.         
                5.65499E-06        0.         
                5.73695E-06        0.         
                5.8189E-06         0.         
                5.90086E-06        0.         
                5.98282E-06        0.         
                6.06477E-06        0.         
                6.14673E-06        0.         
                6.22869E-06        0.         
                6.31064E-06        0.         
                6.3926E-06         0.         
                6.47455E-06        0.         
                6.55651E-06        0.         
                6.63847E-06        0.         
                6.72042E-06        0.         
                6.80238E-06        0.         
                6.88434E-06        0.         
                6.96629E-06        0.         
                7.04825E-06        0.         
                7.13021E-06        0.         
                7.21216E-06        0.         
                7.29412E-06        0.         
                7.37607E-06        0.         
                7.45803E-06        0.         
                7.53999E-06        0.         
                7.62194E-06        0.         
                7.7039E-06         0.         
                7.78586E-06        0.         
                7.86781E-06        0.         
                7.94977E-06        0.         
                8.03173E-06        0.         
                8.11368E-06        0.         
                8.19564E-06        0.         
                8.2776E-06         0.         
                8.35955E-06        0.         
                8.44151E-06        0.         
                8.52346E-06        0.         
                8.60542E-06        0.         
                8.68738E-06        0.         
                8.76933E-06        0.         
                8.85129E-06        0.         
                8.93325E-06        0.         
                9.0152E-06         0.         
                9.09716E-06        0.         
                9.17912E-06        0.         
                9.26107E-06        0.         
                9.34303E-06        0.         
                9.42498E-06        0.         
                9.50694E-06        0.         
                9.5889E-06         0.         
                9.67085E-06        0.         
                9.75281E-06        0.         
                9.83477E-06        0.         
                9.91672E-06        0.         
                9.99868E-06        0.         
               10.0806E-06         0.         
               10.1626E-06         0.         
               10.2445E-06         0.         
               10.3265E-06         0.         
               10.4085E-06         0.         
               10.4904E-06         0.         
               10.5724E-06         0.         
               10.6543E-06         0.         
               10.7363E-06         0.         
               10.8182E-06         0.         
               10.9002E-06         0.         
               10.9822E-06         0.         
               11.0641E-06         0.         
               11.1461E-06         0.         
               11.228E-06          0.         
               11.31E-06           0.         
               11.3919E-06         0.         
               11.4739E-06         0.         
               11.5559E-06         0.         
               11.6378E-06         0.         
               11.7198E-06         0.         
               11.8017E-06         0.         
               11.8837E-06         0.         
               11.9656E-06         0.         
               12.0476E-06         0.         
               12.1295E-06         0.         
               12.2115E-06         0.         
               12.2935E-06         0.         
               12.3754E-06         0.         
               12.4574E-06         0.         
               12.5393E-06         0.         
               12.6213E-06         0.         
               12.7032E-06         0.         
               12.7852E-06         0.         
               12.8672E-06         0.         
               12.9491E-06         0.         
               13.0311E-06         0.         
               13.113E-06          0.         
               13.195E-06          0.         
               13.2769E-06         0.         
               13.3589E-06         0.         
               13.4408E-06         0.         
               13.5228E-06         0.         
               13.6048E-06         0.         
               13.6867E-06         0.         
               13.7687E-06         0.         
